longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value,bedrooms_per_room
-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,0.0,0.0,0.0,1.0,0.0,452600.0,6.821705426356589
-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,0.0,0.0,0.0,1.0,0.0,358500.0,6.418625678119349
-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,0.0,0.0,0.0,1.0,0.0,352100.0,7.721052631578948
-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,0.0,0.0,0.0,1.0,0.0,341300.0,5.421276595744681
-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,0.0,0.0,0.0,1.0,0.0,342200.0,5.810714285714286
-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,0.0,0.0,0.0,1.0,0.0,269700.0,4.314553990610329
-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,0.0,0.0,0.0,1.0,0.0,299200.0,5.184049079754601
-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,0.0,0.0,0.0,1.0,0.0,241400.0,4.518195050946143
-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,0.0,0.0,0.0,1.0,0.0,226700.0,3.8421052631578947
-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,0.0,0.0,0.0,1.0,0.0,261100.0,5.01980198019802
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,0.0,0.0,0.0,1.0,0.0,281500.0,5.073732718894009
-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,0.0,0.0,0.0,1.0,0.0,241800.0,4.658244680851064
-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,0.0,0.0,0.0,1.0,0.0,213500.0,5.255274261603375
-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,0.0,0.0,0.0,1.0,0.0,191300.0,3.643979057591623
-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,0.0,0.0,0.0,1.0,0.0,159200.0,4.222044728434505
-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,0.0,0.0,0.0,1.0,0.0,140000.0,3.9575971731448765
-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,0.0,0.0,0.0,1.0,0.0,152500.0,5.665706051873199
-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,0.0,0.0,0.0,1.0,0.0,155500.0,4.191126279863481
-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,0.0,0.0,0.0,1.0,0.0,158700.0,4.920879120879121
-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,0.0,0.0,0.0,1.0,0.0,162900.0,5.043624161073826
-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,0.0,0.0,0.0,1.0,0.0,147500.0,4.081521739130435
-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,0.0,0.0,0.0,1.0,0.0,159800.0,4.4659400544959125
-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,0.0,0.0,0.0,1.0,0.0,113900.0,4.502772643253235
-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,0.0,0.0,0.0,1.0,0.0,99700.0,5.008902077151335
-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,0.0,0.0,0.0,1.0,0.0,132600.0,5.089244851258581
-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,0.0,0.0,0.0,1.0,0.0,107500.0,4.349593495934959
-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,0.0,0.0,0.0,1.0,0.0,93800.0,4.631147540983607
-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,0.0,0.0,0.0,1.0,0.0,105500.0,4.508313539192399
-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,0.0,0.0,0.0,1.0,0.0,108900.0,4.2317073170731705
-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,0.0,0.0,0.0,1.0,0.0,132000.0,4.55625
-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,0.0,0.0,0.0,1.0,0.0,122300.0,4.286353467561521
-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,0.0,0.0,0.0,1.0,0.0,115200.0,4.476091476091476
-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,0.0,0.0,0.0,1.0,0.0,110400.0,4.699266503667482
-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,0.0,0.0,0.0,1.0,0.0,104900.0,4.521857923497268
-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,0.0,0.0,0.0,1.0,0.0,109700.0,4.642857142857143
-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,0.0,0.0,0.0,1.0,0.0,97200.0,4.308510638297872
-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,0.0,0.0,0.0,1.0,0.0,104500.0,4.162037037037037
-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,0.0,0.0,0.0,1.0,0.0,103900.0,3.8743589743589744
-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,0.0,0.0,0.0,1.0,0.0,191400.0,4.454545454545454
-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,0.0,0.0,0.0,1.0,0.0,176000.0,3.4013986013986015
-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,0.0,0.0,0.0,1.0,0.0,155400.0,3.9737470167064437
-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,0.0,0.0,0.0,1.0,0.0,150000.0,3.009646302250804
-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,0.0,0.0,0.0,1.0,0.0,118800.0,3.5297029702970297
-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,0.0,0.0,0.0,1.0,0.0,188800.0,4.702970297029703
-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,0.0,0.0,0.0,1.0,0.0,184400.0,4.639871382636656
-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,0.0,0.0,0.0,1.0,0.0,182300.0,3.942857142857143
-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,0.0,0.0,0.0,1.0,0.0,142500.0,3.4937888198757765
-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,0.0,0.0,0.0,1.0,0.0,137500.0,3.2275641025641026
-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,0.0,0.0,0.0,1.0,0.0,187500.0,3.2
-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,0.0,0.0,0.0,1.0,0.0,112500.0,2.522666666666667
-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,0.0,0.0,0.0,1.0,0.0,171900.0,1.9779249448123621
-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,0.0,0.0,0.0,1.0,0.0,93800.0,4.0964912280701755
-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,0.0,0.0,0.0,1.0,0.0,97500.0,3.776084407971864
-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,0.0,0.0,0.0,1.0,0.0,104200.0,3.574561403508772
-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,0.0,0.0,0.0,1.0,0.0,87500.0,4.9787234042553195
-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,0.0,0.0,0.0,1.0,0.0,83100.0,3.888888888888889
-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,0.0,0.0,0.0,1.0,0.0,87500.0,4.298611111111111
-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,0.0,0.0,0.0,1.0,0.0,85300.0,4.444776119402985
-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,0.0,0.0,0.0,1.0,0.0,80300.0,4.067448680351906
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,0.0,0.0,0.0,1.0,0.0,60000.0,3.6744186046511627
-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,0.0,0.0,0.0,1.0,0.0,75700.0,5.312796208530806
