longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,median_house_value,bedrooms_per_room
-121.46,38.52,29.0,3873.0,797.0,2237.0,706.0,2.1736,0.0,1.0,0.0,0.0,0.0,72100.0,4.8594730238393975
-117.23,33.09,7.0,5320.0,855.0,2015.0,768.0,6.3373,0.0,0.0,0.0,0.0,1.0,279600.0,6.222222222222222
-119.04,35.37,44.0,1618.0,310.0,667.0,300.0,2.875,0.0,1.0,0.0,0.0,0.0,82700.0,5.219354838709678
-117.13,32.75,24.0,1877.0,519.0,898.0,483.0,2.2264,0.0,0.0,0.0,0.0,1.0,112500.0,3.6165703275529864
-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,1.0,0.0,0.0,0.0,0.0,238300.0,5.473684210526316
-122.04,37.96,28.0,1207.0,252.0,724.0,252.0,3.6964,0.0,0.0,0.0,1.0,0.0,165700.0,4.7896825396825395
-122.03,37.33,23.0,4221.0,671.0,1782.0,641.0,7.4863,1.0,0.0,0.0,0.0,0.0,412300.0,6.290611028315946
-118.31,34.2,36.0,1692.0,263.0,778.0,278.0,5.0865,1.0,0.0,0.0,0.0,0.0,349600.0,6.433460076045628
-121.95,37.27,17.0,1330.0,271.0,408.0,258.0,1.7171,1.0,0.0,0.0,0.0,0.0,181300.0,4.907749077490775
-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,1.0,0.0,0.0,0.0,0.0,500001.0,2.2489082969432315
-121.54,39.08,23.0,1076.0,216.0,724.0,197.0,2.3598,0.0,1.0,0.0,0.0,0.0,57500.0,4.981481481481482
-117.99,33.69,12.0,2480.0,858.0,1441.0,788.0,1.6705,1.0,0.0,0.0,0.0,0.0,350000.0,2.8904428904428903
-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,0.0,1.0,0.0,0.0,0.0,238800.0,5.8091679123069255
-119.83,36.78,30.0,3162.0,640.0,1660.0,639.0,2.8359,0.0,1.0,0.0,0.0,0.0,80300.0,4.940625
-117.22,32.83,31.0,2558.0,512.0,1164.0,492.0,3.4318,0.0,0.0,0.0,0.0,1.0,200400.0,4.99609375
-121.88,37.37,14.0,6016.0,1404.0,3258.0,1316.0,3.5745,1.0,0.0,0.0,0.0,0.0,333700.0,4.284900284900285
-118.08,33.93,39.0,1478.0,324.0,1127.0,320.0,3.525,1.0,0.0,0.0,0.0,0.0,158000.0,4.561728395061729
-117.91,33.65,17.0,1328.0,377.0,762.0,344.0,2.2222,1.0,0.0,0.0,0.0,0.0,276800.0,3.522546419098143
-122.53,37.9,44.0,2846.0,551.0,1232.0,537.0,3.8839,0.0,0.0,0.0,1.0,0.0,327200.0,5.165154264972776
-117.86,33.79,42.0,1024.0,191.0,483.0,187.0,4.105,1.0,0.0,0.0,0.0,0.0,194500.0,5.361256544502618
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,0.0,1.0,0.0,0.0,0.0,163100.0,6.151394422310757
-122.28,37.91,48.0,2083.0,298.0,685.0,286.0,7.3089,0.0,0.0,0.0,1.0,0.0,331200.0,6.989932885906041
-121.23,38.79,45.0,907.0,176.0,463.0,190.0,2.2292,0.0,1.0,0.0,0.0,0.0,92000.0,5.153409090909091
-117.94,34.1,31.0,1239.0,254.0,929.0,244.0,3.3625,1.0,0.0,0.0,0.0,0.0,153400.0,4.877952755905512
-120.96,39.12,24.0,2069.0,436.0,909.0,374.0,2.5326,0.0,1.0,0.0,0.0,0.0,139100.0,4.745412844036697
-117.35,33.98,31.0,4163.0,1242.0,3928.0,1076.0,1.6943,0.0,1.0,0.0,0.0,0.0,85900.0,3.3518518518518516
-119.03,34.24,25.0,3655.0,545.0,1776.0,544.0,5.687,1.0,0.0,0.0,0.0,0.0,238100.0,6.706422018348624
-117.0,32.77,30.0,1802.0,401.0,776.0,386.0,2.8125,1.0,0.0,0.0,0.0,0.0,173500.0,4.493765586034913
-120.84,35.31,23.0,3100.0,603.0,1515.0,609.0,2.8493,0.0,0.0,0.0,0.0,1.0,196100.0,5.140961857379768
-118.33,34.08,50.0,2989.0,832.0,1345.0,775.0,3.2426,1.0,0.0,0.0,0.0,0.0,442900.0,3.592548076923077
-118.05,33.81,26.0,2523.0,437.0,1377.0,450.0,5.2542,1.0,0.0,0.0,0.0,0.0,234600.0,5.773455377574371
-117.94,34.08,32.0,2704.0,514.0,1669.0,497.0,4.4653,1.0,0.0,0.0,0.0,0.0,195400.0,5.260700389105058
-118.8,34.27,12.0,3330.0,600.0,1577.0,584.0,4.6985,1.0,0.0,0.0,0.0,0.0,264100.0,5.55
-122.0,37.27,33.0,1664.0,271.0,759.0,272.0,5.7876,1.0,0.0,0.0,0.0,0.0,415800.0,6.1402214022140225
-121.89,37.3,47.0,2355.0,426.0,961.0,428.0,5.3955,1.0,0.0,0.0,0.0,0.0,282300.0,5.528169014084507
-117.22,32.74,52.0,1260.0,202.0,555.0,209.0,7.2758,0.0,0.0,0.0,0.0,1.0,345200.0,6.237623762376238
-121.49,38.59,20.0,463.0,180.0,486.0,190.0,1.0313,0.0,1.0,0.0,0.0,0.0,85000.0,2.5722222222222224
-118.39,34.02,38.0,2447.0,636.0,1312.0,574.0,3.5909,1.0,0.0,0.0,0.0,0.0,279400.0,3.84748427672956
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,3.2019,0.0,1.0,0.0,0.0,0.0,95700.0,5.547474747474747
-118.02,34.09,32.0,1747.0,399.0,1199.0,402.0,3.4286,0.0,1.0,0.0,0.0,0.0,191800.0,4.37844611528822
-118.59,34.21,34.0,2389.0,521.0,1560.0,514.0,4.8333,1.0,0.0,0.0,0.0,0.0,225400.0,4.585412667946257
-116.8,33.52,3.0,830.0,145.0,272.0,104.0,3.8281,0.0,1.0,0.0,0.0,0.0,163500.0,5.724137931034483
-118.19,33.85,45.0,1167.0,302.0,773.0,287.0,3.2798,0.0,0.0,0.0,0.0,1.0,150300.0,3.8642384105960264
-117.18,32.8,10.0,3821.0,631.0,1605.0,609.0,5.5454,0.0,0.0,0.0,0.0,1.0,217100.0,6.055467511885896
-117.86,33.71,36.0,191.0,42.0,208.0,37.0,3.375,1.0,0.0,0.0,0.0,0.0,157500.0,4.5476190476190474
-118.08,33.97,38.0,1026.0,190.0,789.0,193.0,4.2,1.0,0.0,0.0,0.0,0.0,163200.0,5.4
-117.36,34.0,19.0,4592.0,895.0,2769.0,838.0,3.3622,0.0,1.0,0.0,0.0,0.0,105100.0,5.13072625698324
-121.78,37.97,4.0,17032.0,2546.0,7653.0,2359.0,5.5601,0.0,1.0,0.0,0.0,0.0,213700.0,6.689709347996858
-121.27,38.13,40.0,2402.0,509.0,1197.0,486.0,2.1771,0.0,1.0,0.0,0.0,0.0,98200.0,4.719056974459725
-118.67,34.28,21.0,4059.0,598.0,2133.0,634.0,5.6949,1.0,0.0,0.0,0.0,0.0,235300.0,6.787625418060201
-121.83,37.37,43.0,1461.0,284.0,800.0,258.0,3.2279,1.0,0.0,0.0,0.0,0.0,182400.0,5.144366197183099
-122.53,37.92,45.0,1530.0,324.0,608.0,328.0,3.875,0.0,0.0,0.0,1.0,0.0,390800.0,4.722222222222222
-117.91,33.73,26.0,2413.0,512.0,2867.0,509.0,4.7639,1.0,0.0,0.0,0.0,0.0,179900.0,4.712890625
-119.79,36.75,33.0,3161.0,934.0,3530.0,846.0,1.123,0.0,1.0,0.0,0.0,0.0,46700.0,3.3843683083511777
-117.9,33.64,28.0,2466.0,507.0,1081.0,465.0,3.9375,1.0,0.0,0.0,0.0,0.0,339800.0,4.863905325443787
-121.01,37.66,36.0,3679.0,613.0,1366.0,581.0,4.5,0.0,1.0,0.0,0.0,0.0,151400.0,6.00163132137031
-122.38,40.61,14.0,4773.0,1133.0,2101.0,1072.0,1.7227,0.0,1.0,0.0,0.0,0.0,105000.0,4.212709620476611
-122.17,37.73,52.0,1555.0,289.0,620.0,292.0,3.7159,0.0,0.0,0.0,1.0,0.0,183300.0,5.380622837370242
-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,0.0,1.0,0.0,0.0,0.0,125700.0,6.23371989295272
-117.06,32.57,25.0,1268.0,282.0,991.0,299.0,3.0284,0.0,0.0,0.0,0.0,1.0,123600.0,4.49645390070922
-117.9,34.07,36.0,1009.0,164.0,466.0,149.0,5.8519,1.0,0.0,0.0,0.0,0.0,249400.0,6.152439024390244
